Chapter,Page,,
CHAPTER 1 Differential Diagnosis of Ocular Symptoms,1,,
CHAPTER 2 Differential Diagnosis of Ocular Signs,6,,
CHAPTER 3 Trauma,13,,
3.1 Chemical Burn,13,,
3.2 Corneal Abrasion,16,,
3.3 Corneal and Conjunctival Foreign Bodies,17,,
3.4 Conjunctival Laceration,19,,
3.5 Traumatic Iritis,20,,
3.6 Hyphema and Microhyphema,21,,
3.7 Iridodialysis/Cyclodialysis,25,,
3.8 Eyelid Laceration,26,,
3.9 Orbital Blow-Out Fracture,32,,
3.10 Traumatic Retrobulbar Hemorrhage,35,,
3.11 Traumatic Optic Neuropathy,40,,
3.12 Intraorbital Foreign Body,42,,
3.13 Corneal Laceration,44,,
3.14 Ruptured Globe and Penetrating Ocular Injury,46,,
3.15 Intraocular Foreign Body,48,,
3.16 Commotio Retinae,49,,
3.17 Traumatic Choroidal Rupture,50,,
3.18 Chorioretinitis Sclopetaria,51,,
3.19 Purtscher Retinopathy,52,,
3.20 Shaken Baby Syndrome/Inflicted Childhood Neurotrauma,53,,
CHAPTER 4 Cornea,55,,
4.1 Superficial Punctate Keratopathy,55,,
4.2 Recurrent Corneal Erosion,57,,
4.3 Dry-Eye Syndrome,59,,
4.4 Filamentary Keratopathy,61,,
4.5 Exposure Keratopathy,62,,
4.6 Neurotrophic Keratopathy,63,,
4.7 Thermal/Ultraviolet Keratopathy,64,,
4.8 Thygeson Superficial Punctate Keratopathy,65,,
4.9 Pterygium/Pinguecula,66,,
4.10 Band Keratopathy,67,,
4.11 Bacterial Keratitis,69,,
4.12 Fungal Keratitis,73,,
4.13 Acanthamoeba Keratitis,75,,
4.14 Crystalline Keratopathy,76,,
4.15 Herpes Simplex Virus,77,,
4.16 Herpes Zoster Ophthalmicus/Varicella Zoster Virus,81,,
4.17 Ocular Vaccinia,85,,
4.18 Interstitial Keratitis,86,,
4.19 Staphylococcal Hypersensitivity,88,,
4.20 Phlyctenulosis,89,,
4.21 Contact Lens-Related Problems,90,,
4.22 Contact Lens-Induced Giant Papillary Conjunctivitis,94,,
4.23 Peripheral Corneal Thinning/Ulceration,95,,
4.24 Dellen,98,,
4.25 Keratoconus,98,,
4.26 Corneal Dystrophies,100,,
4.27 Fuchs Endothelial Dystrophy,102,,
4.28 Aphakic Bullous Keratopathy/Pseudophakic Bullous Keratopathy,103,,
4.29 Corneal Graft Rejection,104,,
4.30 Corneal Refractive Surgery Complications,105,,
CHAPTER 5 Conjunctiva/Sclera/Iris/External Disease,110,,
5.1 Acute Conjunctivitis,110,,
5.2 Chronic Conjunctivitis,116,,
5.3 Parinaud Oculoglandular Conjunctivitis,118,,
5.4 Superior Limbic Keratoconjunctivitis,119,,
5.5 Subconjunctival Hemorrhage,120,,
5.6 Episcleritis,121,,
5.7 Scleritis,122,,
5.8 Blepharitis/Meibomitis,125,,
5.9 Ocular Rosacea,126,,
5.10 Ocular Cicatricial Pemphigoid,127,,
5.11 Contact Dermatitis,129,,
5.12 Conjunctival Tumors,129,,
5.13 Malignant Melanoma of the Iris,133,,
CHAPTER 6 Eyelid,135,,
6.1 Ptosis,135,,
6.2 Chalazion/Hordeolum,137,,
6.3 Ectropion,139,,
6.4 Entropion,140,,
6.5 Trichiasis,140,,
6.6 Floppy Eyelid Syndrome,141,,
6.7 Blepharospasm,142,,
6.8 Canaliculitis,143,,
6.9 Dacryocystitis/Inflammation of the Lacrimal Sac,144,,
6.10 Preseptal Cellulitis,146,,
6.11 Malignant Tumors of the Eyelid,149,,
CHAPTER 7 Orbit,153,,
7.1 Orbital Disease,153,,
7.2 Inflammatory Orbital Disease,154,,
7.3 Infectious Orbital Disease,159,,
7.4 Orbital Tumors,165,,
7.5 Traumatic Orbital Disease,173,,
7.6 Lacrimal Gland Mass/Chronic Dacryoadenitis,174,,
7.7 Miscellaneous Orbital Diseases,176,,
CHAPTER 8 Pediatrics,177,,
8.1 Leukocoria,177,,
8.2 Retinopathy of Prematurity,179,,
8.3 Familial Exudative Vitreoretinopathy,182,,
8.4 Esodeviations in Children,183,,
8.5 Exodeviations in Children,186,,
8.6 Strabismus Syndromes,188,,
8.7 Amblyopia,189,,
8.8 Congenital Cataract,191,,
8.9 Ophthalmia Neonatorum (Newborn Conjunctivitis),193,,
8.10 Congenital Nasolacrimal Duct Obstruction,195,,
8.11 Congenital/Infantile Glaucoma,196,,
8.12 Developmental Anterior Segment and Lens Anomalies/Dysgenesis,198,,
8.13 Congenital Ptosis,200,,
8.14 The Bilaterally Blind Infant,201,,
CHAPTER 9 Glaucoma,204,,
9.1 Primary Open-Angle Glaucoma,204,,
